"","Ligne.Incidentologie","Ligne.Q.qualif","Ligne.Approfondissement.Incident","NBINCI1","INCIFREQ1","NBINCI2","INCIFREQ2","NBINCI3","INCIFREQ3","NBINCI4","INCIFREQ4","NBINCI5","INCIFREQ5","NBINCI6","INCIFREQ6","NBINCI7","INCIFREQ7","NBINCI8","INCIFREQ8","NBINCI9","INCIFREQ9","NBINCI10","INCIFREQ10","NBINCI11","INCIFREQ11","NBINCI12","INCIFREQ12","AUTRESINCI","NBAUTRESINCI","TOTAL_INC","DESCAUTREINCI1","DESCAUTREINCI2","DESCAUTREINCI3","DESCAUTREINCI4","DESCAUTREINCI5","DESCAUTREINCI6","DESCAUTREINCI7","DESCAUTREINCI8","DESCAUTREINCI9","DESCAUTREINCI10","EXPCYCLO","EXP125","EXPGC","ACCORDNEXTQ","CHOIXINCI","RGPMTINCI","CHOIX1","CHOIX2","CHOIX3","CHOIX4","CHOIX5","CHOIX6","CHOIX7","DESCRIPTION","RUPTURE","FAITS","ABS_REACTION","IMPACT_COMPORTEMENT","COMPORTEMENT_PRECISION","AUTRE_USAGER","REACTION_AUTRE_USAGER","CONNAISSANCE_REACTIOn_USAGER","DIFFICULTES","AGGRAVATION","AGGRAVATION_PRECISION","EMOTION1","EMOTION2","EMOTION3","EMOTION4","EMOTION5","EMOTION6","AUTRE_SENTIMENT","CL_EMOTION1","CL_EMOTION2","CL_EMOTION3","CL_EMOTION4","CL_EMOTION5","CL_EMOTION6","CL_EMOTION9","EXPL_EMOTION","BIEN_EQUIPE","ALLURE","ALLURE_VITE_DETAIL","ALLURE_LENTE_DETAIL","SIT_CONDUITE1","SIT_CONDUITE2","SIT_CONDUITE3","SIT_CONDUITE4","SIT_CONDUITE5","SIT_CONDUITE6","SIT_CONDUITE7","SIT_CONDUITE8","HUMEUR1","HUMEUR2","HUMEUR3","HUMEUR4","HUMEUR5","CONTRIBUTION1","CONTRIBUTION2","CONTRIBUTION3","CONTRIBUTION4","CONTRIBUTION5","CONTRIBUTION6","CONTRIBUTION7","CONTRIBUTION8","CONTRIBUTION9","ROLE_INFRA","ELEMENT_INFRA1","ELEMENT_INFRA2","ELEMENT_INFRA3","ELEMENT_INFRA4","ELEMENT_INFRA5","ELEMENT_INFRA6","ELEMENT_INFRA7","ELEMENT_INFRA8","MEDICAMENTS","ALCOOL","TX_ALCOOL","STUP","SEMAINE","MOMENT_JOURNEE","TEMPS","CAUSE_ACC1","CAUSE_ACC2","CAUSE_ACC3","CAUSE_ACC4","CAUSE_ACC5","FORMATION_CAUSE","FORMATION1","FORMATION2","FORMATION3","FORMATION4","TRAFIC","CHAUSSEE1","CHAUSSEE2","CHAUSSEE3","CHAUSSEE4","TRAJET","TYPE_ROUTE","MOTIF","SENS_TRAJET","PASSAGER","VITESSE","DESC_EQUIPEMENT1","DESC_EQUIPEMENT2","DESC_EQUIPEMENT3","DESC_EQUIPEMENT4","DESC_EQUIPEMENT5","DESC_EQUIPEMENT6","DESC_EQUIPEMENT7","DESC_EQUIPEMENT8","DESC_EQUIPEMENT9","DESC_EQUIPEMENT10","HABITUDE1","HABITUDE2","HABITUDE3","HABITUDE4","HABITUDE5","HABITUDE6","MARQUE","CYLINDREE","MODELE","GTA","SEGMENT","APPELLATION","OPTION","SIDE","EQ_2RM1","EQ_2RM2","EQ_2RM3","EQ_2RM4","EQ_2RM5","EQ_2RM6","EQ_2RM7","EQ_2RM8","EQ_2RM9","EQ_2RM10","KM","POINTS","DUREE","AUTRE_2RM","VEH_PREC_MARQUE","VEH_PREC_CYLINDREE","VEH_PREC_MODELE","VEH_PREC_GTA","VEH_PREC_SEGMENT","VEH_PREC_APPELLATION","VEH_PREC_OPTION","VEH_PREC_SIDE","TEMPS_2RM1","FREQ_2RM1","DATE_NAISS","CSP","SOCIETAIRE","SALARIE","SECTEUR2RM","NBPERSFOYER","SITFAM","NBENF","TRNBENF1","TRNBENF2","TRNBENF3","TRNBENF4","NBAUTOFOYER","NBCYCLOFOYER","NBSCOOTFOYER","NBMOTOFOYER","NBTRIKEFOYER","NB2RMCONDUIT","MARQUE1","CYLINDREE1","MODELE1","SEGMENT1","SIDE1","ANMISECIRCU1","ASS1","FREQ1","USAGE1","NBKM1","GARAGE1","MARQUE2","CYLINDREE2","MODELE2","SEGMENT2","SIDE2","ANMISECIRCU2","ASS2","FREQ2","USAGE2","NBKM2","GARAGE2","MARQUE3","CYLINDREE3","MODELE3","SEGMENT3","SIDE3","ANMISECIRCU3","ASS3","FREQ3","USAGE3","NBKM3","GARAGE3","MARQUE4","CYLINDREE4","MODELE4","SEGMENT4","SIDE4","ANMISECIRCU4","ASS4","FREQ4","USAGE4","NBKM4","GARAGE4","MARQUE5","CYLINDREE5","MODELE5","SEGMENT5","SIDE5","ANMISECIRCU5","ASS5","FREQ5","USAGE5","NBKM5","GARAGE5","NBKMTOT","PERMIS1","PERMIS2","PERMIS3","PERMIS4","PERMIS5","PERMIS6","PERMIS7","PERMIS8","PERMIS9","ANPERMIS1","ANPERMIS6","ANPERMIS7","ANPERMIS2","ANPERMIS3","ANPERMIS8","ANPERMIS9","ANPERMIS4","ANPERMIS5","X","X.1","X.2","isScooter"
"302",279,3886,"",0,4,0,6,0,5,1,3,0,5,0,3,1,5,0,3,0,4,0,5,1,5,1,5,0,NA,4,"","","","","","","","","",NA,"0","0",4,1,11,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","09NOV1988","10","1","3","2",5,5,0,"NRP","","","",3,0,0,2,0,2,"KAWASAKI",750,"ZR-7","ROADSTER","2","2000","37",1,2,8500,"4","YAMAHA","600","FZ6-S FAZER  S2","ROADSTER","2","2007",37,1,2,8000,"4","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",16500,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","NRP","2011","NRP","NRP","2006","NRP","","","","Motorcycle"
"303",1580,3888,"",0,5,0,4,0,5,0,5,10,4,0,5,1,4,0,3,2,5,1,6,0,5,1,5,1,1,16,"Souvent des véhicules qui sorte sur notre voie , principalement sur route de montagne.....","","","","","","","","",NA,"2","21",15,1,5,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","28MAY1962","7","2","3","2",1,1,NA,"NRP","","","",1,0,0,1,0,1,"HONDA",1300,"PAN EUROPEAN","Routière / GT","2","2002","29",3,1,12000,"4","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",12000,"2",3,4,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","1978","1980","NRP","NRP","2000","NRP","","","","Motorcycle"
"304",197,3895,"",1,4,0,6,0,5,0,5,1,6,0,5,0,6,0,4,2,4,0,5,1,3,1,4,0,NA,6,"","","","","","","","","",NA,"3","0",14,1,12,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","03MAY1973","7","2","3","2",3,4,1,"NRP","","","",2,0,0,1,0,1,"TRIUMPH",955,"SPEED TRIPLE","ROADSTER","2","2004","42",2,1,3000,"7","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",3000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","NRP","2000","NRP","NRP","1991","NRP","","","","Motorcycle"
"305",1052,3896,"",0,4,0,4,1,5,0,6,1,4,1,5,0,4,3,4,2,4,0,5,0,5,10,4,0,NA,18,"","","","","","","","","",NA,"5","0",17,0,NA,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","23NOV1970","7","2","3","2",4,4,2,"NRP","","","",1,0,0,1,0,1,"VICTORY",1730,"VEGAS 8 BALL","CUSTOM","2","2012","10",2,2,6000,"7","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",6000,"4",3,NA,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","NRP","1997","NRP","NRP","1990","NRP","","","","Motorcycle"
"306",1942,3897,"",1,5,0,5,0,3,0,2,1,5,0,4,1,4,0,4,0,3,0,3,0,4,0,3,0,NA,3,"","","","","","","","","",NA,"2","3",34,1,1,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","24AUG1960","11","1","3","2",1,1,NA,"NRP","","","",1,0,0,1,0,1,"BMW",800,"F800ST","Routière / GT","2","2006","37",3,1,10000,"4","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",10000,"2",3,4,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","1976","1979","NRP","NRP","1978","NRP","","","","Motorcycle"
"307",1064,3900,"",0,1,0,5,0,5,0,3,2,4,2,5,0,3,0,1,3,1,0,4,0,1,1,3,0,NA,8,"","","","","","","","","",NA,"3","0",8,0,NA,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","15APR1983","6","1","3","2",3,5,0,"NRP","","","",4,0,0,1,0,1,"TRIUMPH",955,"SPRINT RS","Routière / GT","2","2001","37",4,1,3000,"7","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",3000,"1",2,3,4,NA,NA,NA,NA,NA,"1997","NRP","NRP","2001","2006","NRP","NRP","2001","NRP","","","","Motorcycle"
"308",1387,3901,"31V1",0,2,1,4,0,3,0,2,0,3,1,2,0,2,0,2,0,2,0,2,0,2,3,2,0,NA,5,"","","","","","","","","",NA,"4","12",0,1,12,"Alo","3","5","6","",NA,NA,NA,"Alors que j'arrivais, une fille est passée au rouge pour elle avec les écouteurs dans les oreilles, j'ai fait un coup de klaxon mais elle n'a pas bougé d'un pouce alors que de plus gros véhicules comme des voitures arrivaient juste derrière moi, de l'inconscience pure !","L'évitement soudain de cette personne mais surtout le non respect des régles du code de la route et cette tendance à être seule sur terre !","J'ai démarré de mon feu, j'ai traversé le grand carrefour et soudainement elle a déboulé de ma gauche tête dans son smartphone, les écouteurs sur les oreilles. Je klaxonne pour l'alerter mais elle ne bouge pas. Au dernier moment, j'ai fais une manoeuvre d'évitement mais elle était vraiment seule au monde, de l'inconscience pure.","1","2","Etre encore plus vigilant.","0","","","","","","2","3",4,NA,NA,NA,"","",1,"2",3,NA,NA,NA,"Pas de réaction de sa part, qu'est ce qu'il lui prend de traverser alors que des voitures arrivent","3","3","","","3","1","3","4","1","1","1","2","5",1,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,2,"","","","","",NA,NA,NA,2,2,NA,2,1,1,1,5,95,0,0,0,"2","","","","","2","1","","","",2,"1","1",2,0,40,1,10,2,4,7,NA,NA,NA,NA,NA,"4","4","4","4","4","4","SYM","125","GTS","8071","SCOOTER","SYM, 125 GTS","1","2","1","1",1,1,1,1,1,1,1,1,"38000","8",4,1,"HYOSUNG","125","MS3","11012","SCOOTER","HYOSUNG, 125 MS3","1","2","4","4","10DEC1976","7","2","3","2",2,3,NA,"NRP","","","",2,0,1,1,0,1,"SYM",125,"GTS","SCOOTER","2","2007","10",1,2,7500,"1","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",7500,"2",3,4,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","1995","1995","NRP","NRP","1995","NRP","","","","Scooter"
"309",385,3903,"207V2",2,5,1,3,3,5,0,2,2,3,0,3,1,3,1,3,3,5,0,2,1,4,0,3,0,NA,14,"","","","","","","","","",NA,"0","2",10,1,9,"Vou","AUT|je ne me souviens plus","","","",NA,NA,NA,"?","NRP","?","AUT|?","3","","0","","","","","","9","",NA,NA,NA,NA,"?","",NA,"",NA,NA,NA,1,"?","4","5","","","NSP","NSP","NSP","NSP","NSP","NSP","NSP","NSP","5",5,5,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,2,"","","","","",NA,NA,NA,2,3,NA,2,1,1,1,0,100,0,0,0,"NSP","","","","","AUT|?","AUT|?","","","",1,"AUT|?","3",NA,0,100,1,2,3,4,9,NA,NA,NA,NA,NA,"4","4","4","4","4","4","KAWASAKI","1400","GTR","9760","Routière / GT","KAWASAKI, 1400 GTR","1","2","0","0",0,1,1,1,1,0,1,0,"NSP","12",4,0,"","","","","","","","","","","02AUG1951","9","1","3","2",2,3,NA,"NRP","","","",2,0,0,1,0,1,"KAWASAKI",1400,"GTR","Routière / GT","2","2009","37",2,1,6000,"7","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",6000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","NRP","2004","NRP","NRP","1969","NRP","","","","Motorcycle"
"310",1985,3905,"",0,1,0,2,0,4,0,4,0,3,0,1,1,2,2,3,1,4,0,3,4,5,0,3,0,NA,8,"","","","","","","","","",NA,"3","0",20,1,7,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","14NOV1963","5","1","3","2",4,4,2,"NRP","","","",1,0,0,1,0,1,"HONDA",1100,"PAN EUROPEAN","Routière / GT","2","1993","37",1,2,10000,"7","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",10000,"4",3,NA,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","NRP","1995","NRP","NRP","1982","NRP","","","","Motorcycle"
"311",912,3906,"",0,3,0,6,0,3,0,5,0,5,0,5,0,3,0,3,1,4,0,5,0,2,0,4,0,NA,1,"","","","","","","","","",NA,"6","0",19,1,9,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","10NOV1964","8","1","3","2",4,4,2,"NRP","","","",2,0,0,1,0,1,"BMW",1200,"K1200S","Routière / GT","2","2005","37",3,1,8000,"7","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",8000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","NRP","1996","NRP","NRP","1983","NRP","","","","Motorcycle"
"312",104,3908,"",0,3,0,3,0,5,0,2,0,4,0,2,3,4,4,3,3,3,0,3,2,4,1,2,1,3,16,"problème d'adhérence sur bande de raccord, temps pluvieux et virage","problème d'adhérence  sur revêtement salé et virage","véhicule arrivant en face et doublant un autre véhicule et ne se rabattant pas","","","","","","",NA,"2","1",9,1,7,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","20JUN1982","5","1","3","2",4,4,2,"NRP","","","",1,0,0,2,0,2,"SUZUKI",1000,"SV-S","SPORTIVE","2","2004","23",1,2,20000,"7","KAWASAKI","125","KDX","TRAIL / SUPERMOTARD","2","1998",37,4,1,100,"7","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",20100,"2",3,4,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","2000","2006","NRP","NRP","2000","NRP","","","","Motorcycle"
"313",268,3910,"",0,4,0,5,0,4,0,5,0,4,0,3,0,2,0,4,0,2,0,2,0,4,0,4,0,NA,0,"","","","","","","","","",NA,"5","30",25,1,NA,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","26APR1958","6","1","3","2",1,1,NA,"NRP","","","",0,0,1,1,0,2,"YAMAHA",250,"X-MAX","SCOOTER","2","2007","37",2,2,3500,"4","YAMAHA","1300","FJR (SANS VALISE)","Routière / GT","2","2010",37,2,2,8000,"4","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",11500,"2",3,4,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","1978","1984","NRP","NRP","1978","NRP","","","","Motorcycle"
"314",378,3913,"",0,5,0,5,1,5,0,5,1,6,0,5,1,4,1,5,0,5,0,2,0,5,0,5,0,NA,4,"","","","","","","","","",NA,"5","3",5,1,8,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","01AUG1960","5","2","3","2",5,4,3,"NRP","","","",2,1,0,1,0,2,"YAMAHA",1000,"FZS FAZER","ROADSTER","2","2001","28",2,1,9000,"7","YAMAHA","50","NEO'S","SCOOTER","2","2006",28,2,2,5000,"7","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",14000,"2",3,4,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","1976","2009","NRP","NRP","1980","NRP","","","","Motorcycle"
"315",1023,3914,"263V2",3,5,1,3,4,6,0,1,2,4,2,4,0,1,0,1,10,5,0,2,2,4,0,1,0,NA,24,"","","","","","","","","",NA,"2","0",11,1,1,"Vou","1","AUT|Celle à laquelle j'ai à faire face régulièrement","","",NA,NA,NA,"Route coupée en ville par la voiture d'en face qui tourne à gauche alors que je suis en face et roule tout droit sur mon axe de circulation. Freinage d'urgence avec impossibilité d'éviter par la gauche (pour éviter un choc frontal avec le véhicule qui suivait la voiture et qui lui, était bien dans son axe), et impossibilité d'éviter par la droite (sortie de lycée et groupe d'élèves présents sur le trottoir à ce niveau). Impact avec la voiture, heureusement léger, sans perte de contrôle de la moto. Pas de souci particulier avec l'automobiliste qui a tourné sans s'assurer qu'il y avait un autre usager de la route présent en face. 2.800  de réparation sur la moto. Responsabilité totale de la voiture. Je pense que ce conducteur inattentif regarde aujourd'hui à deux fois avant de tourner à gauche sur un axe à double sens.","Véhicule d'en face qui coupe brutalement la route de mon axe de circulation.","Route coupée par la voiture d'en face, Tension immédiate des deux bras avant, freinage total en premier du frein arrière pour asseoir ma trajectoire, freinage total du frein avant très légèrement après l'enclenchement de l'arrière, les deux ABS ont déclenché jusqu'à l'impact avec la voiture, heureusement, à très basse vitesse à l'arrivée (50 au départ).  Pendant tout le temps de freinage, analyse des possibilités d'évitement.  Réaction de la voiture qui m'a coupé la route : freinage mais après m'avoir coupé la route.","NRP","3","","1","2","","Il ne m'a pas vu car il ne m'a pas regardé. Pourtant mes deux phares de croisement étaient allumés.","2","","2","",NA,NA,NA,NA,"","",1,"",NA,NA,NA,NA,"De la surprise car le fait qu'une voiture me coupe brutalement la route sur un axe standard à double sens est inattendu.","4","3","","","1","1","2","4","2","1","1","1","1",4,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,2,"","","","","",NA,NA,NA,2,2,NA,2,1,1,1,0,100,0,0,0,"2","","","","","2","1","","","",2,"1","3",NA,0,50,1,2,3,4,9,NA,NA,NA,NA,NA,"4","4","4","4","4","4","KAWASAKI","1400","ZZR ABS","8355","Routière / GT","KAWASAKI, 1400 ZZR ABS","1","2","0","1",1,1,1,1,1,1,1,1,"180000","11",4,1,"YAMAHA","1300","FJR ABS  AE","20394","Routière / GT","YAMAHA, 1300 FJR ABS  AE","1","2","3","4","17AUG1960","4","1","3","2",5,4,3,"NRP","","","",1,0,0,2,0,2,"KAWASAKI",1400,"ZZR ABS","Routière / GT","2","2007","37",1,1,25000,"7","HONDA","650","DEAUVILLE","Routière / GT","2","2002",37,3,1,1000,"7","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",26000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","NRP","1979","NRP","NRP","1983","NRP","","","","Motorcycle"
"316",719,3917,"96V2",1,5,0,4,1,5,0,4,0,5,0,5,1,4,0,4,1,5,0,3,1,4,1,3,0,NA,6,"","","","","","","","","",NA,"2","2",15,1,9,"Vou","6","","","",NA,NA,NA,"voiture qui change de file sans clignotant au beau milieu de véhicules à l'arrêt ou presque, pour cause de bouchon... le conducteur ayant en plus son téléphone mobile à la main!!!","brusque changement de file d'un véhicule sans clignotant","freinage d'urgence et évitement en catastrophe dans le peu d'espace possible... chapelet d'injures sous mon casque, évidement inaudible pour l'autre enfoiré!","NRP","2","je suis encore plus vigilant quand je double ou remonte une file de véhicules dans un bouchon... j'ai pourtant 33ans de permis A...","1","NSP","","NSP","2","","1","2",6,NA,NA,NA,"","2",1,"",NA,NA,3,NA,"pas de cligno et début de changement de file sans se préoccuper des autres...","3","3","","","2","1","3","4","1","1","2","1","1",5,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,1,"6","","","","",NA,NA,NA,2,2,NA,2,1,1,1,5,80,0,15,0,"1","1","","","","AUT|très dense mais pas à l'arrêt","1","","","",1,"4","3",NA,0,40,1,10,2,3,4,7,NA,NA,NA,NA,"4","3","4","3","3","3","SUZUKI","1200","BANDIT","3097","ROADSTER","SUZUKI, 1200 BANDIT","1","2","1","1",1,1,1,0,1,1,1,1,"51000","12",4,1,"HONDA","750","XLV-R","431","TRAIL / SUPERMOTARD","HONDA, 750 XLV-R","1","2","2","3","29JUN1965","7","1","3","2",3,4,1,"NRP","","","",2,0,0,2,0,2,"SUZUKI",1200,"BANDIT-N","ROADSTER","2","1998","37",2,2,2500,"7","YAMAHA","1000","XVSE","CUSTOM","2","1983",29,3,1,1000,"7","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",3500,"9",4,2,NA,NA,NA,NA,NA,NA,"NRP","NRP","NRP","1982","NRP","NRP","1983","1983","NRP","","","","Motorcycle"
